payment_id,ticket_id,amount,payment_date,payment_mode,payment_status
55,55,22724.79,2026-07-29,UPI,Paid
56,56,10940.06,2026-07-29,Card,Paid
57,57,12553.28,2026-07-26,Card,Paid
58,58,11061.36,2026-08-22,UPI,Paid
59,59,6439.68,2026-08-28,UPI,Paid
60,60,7216.85,2026-08-30,NetBanking,Paid
61,61,10563.78,2026-07-21,NetBanking,Paid
62,62,24665.92,2026-08-21,Cash,Paid
63,63,13946.54,2026-08-30,NetBanking,Paid
64,64,11050.66,2026-07-27,NetBanking,Refunded
65,65,4751.49,2026-07-24,Cash,Paid
66,66,12268.35,2026-08-24,Cash,Paid
67,67,18277.31,2026-08-11,NetBanking,Pending
68,68,2856.63,2026-07-18,Cash,Paid
69,69,21566.83,2026-07-12,UPI,Paid
70,70,6004.56,2026-08-14,NetBanking,Paid
71,71,3876.58,2026-08-21,Card,Pending
72,72,17371.42,2026-07-24,NetBanking,Paid
73,73,11932.88,2026-07-12,Card,Paid
74,74,20732.19,2026-07-12,Cash,Pending
75,75,4961.31,2026-07-11,UPI,Paid
76,76,9386.46,2026-08-10,Cash,Refunded
77,77,8466.58,2026-07-21,UPI,Paid
78,78,9960.6,2026-08-26,NetBanking,Paid
79,79,22120.63,2026-08-28,NetBanking,Paid
80,80,10983.33,2026-08-08,Card,Paid
81,81,2836.12,2026-08-27,Card,Paid
82,82,24734.31,2026-07-08,NetBanking,Paid
83,83,11839.23,2026-08-27,NetBanking,Paid
84,84,16073.6,2026-08-10,UPI,Paid
85,85,13063.46,2026-08-27,Cash,Paid
86,86,17268.42,2026-07-24,UPI,Paid
87,87,19346.18,2026-08-24,Card,Paid
88,88,14081.52,2026-08-21,Card,Paid
89,89,4349.25,2026-07-07,NetBanking,Paid
90,90,16337.83,2026-07-16,Card,Paid
91,91,18925.68,2026-07-20,Cash,Paid
92,92,12898.36,2026-08-07,Cash,Paid
93,93,5463.41,2026-07-28,Cash,Paid
94,94,15535.79,2026-08-29,UPI,Paid
95,95,20494.86,2026-08-10,UPI,Paid
96,96,24539.44,2026-07-01,Card,Paid
97,97,21296.03,2026-07-16,Card,Paid
98,98,2763.53,2026-07-31,NetBanking,Pending
99,99,6724.34,2026-08-25,NetBanking,Paid
100,100,7333.81,2026-08-09,Cash,Paid
101,101,5150.93,2026-07-18,Cash,Paid
102,102,22581.85,2026-07-17,Cash,Paid
103,103,13465.49,2026-08-05,NetBanking,Paid
104,104,17530.29,2026-07-22,Cash,Paid
105,105,10722.0,2026-08-11,UPI,Refunded
106,106,5340.13,2026-07-15,NetBanking,Paid
107,107,5206.25,2026-08-15,Cash,Paid
108,108,10321.55,2026-07-29,NetBanking,Paid
109,109,23639.84,2026-08-25,Card,Paid
110,110,23678.12,2026-08-02,Card,Paid
111,111,17812.92,2026-08-19,UPI,Paid
112,112,19253.41,2026-08-03,Card,Paid
113,113,14437.63,2026-07-04,Cash,Paid
114,114,18108.13,2026-08-03,Card,Paid
115,115,4753.11,2026-07-11,Card,Paid
116,116,19399.84,2026-07-10,NetBanking,Pending
117,117,8764.48,2026-08-30,NetBanking,Paid
118,118,22771.52,2026-07-27,NetBanking,Paid
119,119,5562.7,2026-08-30,Cash,Paid
120,120,8154.91,2026-08-05,Cash,Paid
121,121,19002.86,2026-08-08,UPI,Paid
122,122,11733.45,2026-07-10,NetBanking,Paid
123,123,19703.34,2026-08-21,Card,Paid
124,124,6087.47,2026-07-27,NetBanking,Paid
125,125,8092.9,2026-07-23,UPI,Paid
126,126,23853.63,2026-07-09,NetBanking,Paid
127,127,19142.24,2026-08-30,Card,Paid
128,128,5704.19,2026-07-18,Cash,Paid
129,129,5139.07,2026-07-20,UPI,Paid
130,130,15965.05,2026-07-15,NetBanking,Paid
131,131,5309.45,2026-08-17,NetBanking,Paid
132,132,22305.1,2026-08-18,Cash,Pending
133,133,23863.48,2026-07-03,NetBanking,Paid
134,134,8247.68,2026-08-10,NetBanking,Paid
135,135,6290.26,2026-08-15,NetBanking,Paid
136,136,7554.25,2026-07-07,UPI,Refunded
137,137,16074.61,2026-08-08,Cash,Paid
138,138,21624.22,2026-08-01,NetBanking,Paid
139,139,16856.35,2026-08-25,Cash,Paid
140,140,18979.96,2026-08-27,Cash,Paid
141,141,9898.67,2026-08-12,Cash,Refunded
142,142,4369.6,2026-07-07,NetBanking,Paid
143,143,13636.96,2026-08-07,NetBanking,Paid
144,144,4839.22,2026-08-19,NetBanking,Paid
145,145,21341.77,2026-07-25,NetBanking,Paid
146,146,4925.45,2026-08-23,UPI,Paid
147,147,5143.15,2026-08-18,Card,Paid
148,148,17633.71,2026-08-27,NetBanking,Paid
149,149,18661.5,2026-07-03,Cash,Paid
150,150,12405.51,2026-07-30,UPI,Refunded
151,151,20796.12,2026-08-10,NetBanking,Paid
152,152,3076.91,2026-08-06,Card,Paid
153,153,23783.87,2026-07-07,Cash,Refunded
154,154,20542.64,2026-08-16,NetBanking,Paid
155,155,8204.07,2026-08-22,Cash,Paid
156,156,24225.74,2026-07-18,NetBanking,Paid
157,157,9801.53,2026-08-14,Cash,Paid
158,158,6113.32,2026-08-05,Cash,Paid
159,159,19449.68,2026-08-19,Card,Paid
160,160,21774.54,2026-07-22,Cash,Paid
161,161,19146.83,2026-08-23,Card,Paid
162,162,9381.29,2026-08-28,UPI,Paid
163,163,9540.8,2026-08-01,Card,Paid
164,164,7048.36,2026-08-24,NetBanking,Paid
165,165,20632.69,2026-08-27,Cash,Paid
166,166,24084.44,2026-07-21,UPI,Paid
167,167,15591.55,2026-08-28,Cash,Paid
168,168,14610.72,2026-07-26,UPI,Paid
169,169,4537.2,2026-08-08,NetBanking,Pending
170,170,5779.72,2026-07-22,Cash,Paid
171,171,23228.31,2026-07-07,Cash,Paid
172,172,24341.77,2026-07-21,Card,Paid
173,173,3417.39,2026-08-05,Card,Paid
174,174,8660.24,2026-08-01,Card,Paid
175,175,24623.4,2026-07-16,Card,Paid
176,176,20759.32,2026-07-10,UPI,Paid
177,177,24203.29,2026-08-24,NetBanking,Paid
178,178,11826.83,2026-08-05,Card,Paid
179,179,21577.86,2026-08-07,NetBanking,Paid
180,180,22493.59,2026-07-25,Cash,Paid
181,181,24593.11,2026-08-21,Cash,Paid
182,182,10701.58,2026-08-29,Card,Paid
183,183,10534.17,2026-08-14,Card,Paid
184,184,21117.58,2026-08-14,Card,Paid
185,185,15526.57,2026-07-07,NetBanking,Paid
186,186,4858.17,2026-08-22,Card,Paid
187,187,18645.2,2026-08-11,Card,Paid
188,188,15420.83,2026-07-04,NetBanking,Paid
189,189,13685.49,2026-07-28,UPI,Refunded
190,190,6355.18,2026-08-05,NetBanking,Paid
191,191,3794.78,2026-07-23,NetBanking,Pending
192,192,5827.3,2026-08-13,Cash,Paid
193,193,18674.55,2026-08-06,Cash,Refunded
194,194,18874.61,2026-08-15,NetBanking,Paid
195,195,19698.22,2026-07-09,NetBanking,Paid
196,196,12672.51,2026-08-04,Cash,Paid
197,197,15321.79,2026-08-26,NetBanking,Paid
198,198,14641.28,2026-08-13,Cash,Pending
199,199,24344.99,2026-07-04,Cash,Paid
200,200,19928.97,2026-07-05,UPI,Paid
201,201,18933.56,2026-08-16,Card,Paid
202,202,16034.32,2026-08-18,Card,Paid
203,203,3163.47,2026-08-29,NetBanking,Paid
204,204,9965.28,2026-07-07,NetBanking,Paid
205,205,23853.17,2026-07-25,NetBanking,Paid
206,206,13174.17,2026-08-24,Cash,Paid
207,207,9501.9,2026-07-12,NetBanking,Pending
208,208,13742.84,2026-07-12,Cash,Paid
209,209,7599.4,2026-08-11,UPI,Paid
210,210,19415.85,2026-08-03,Cash,Paid
211,211,16138.59,2026-08-05,UPI,Paid
212,212,4648.53,2026-07-01,UPI,Paid
213,213,11156.95,2026-07-02,Cash,Pending
214,214,24003.51,2026-07-13,NetBanking,Paid
215,215,7413.41,2026-07-23,UPI,Pending
216,216,23033.83,2026-08-08,Cash,Paid
217,217,22557.33,2026-08-15,Card,Paid
218,218,20823.13,2026-07-29,UPI,Paid
219,219,23544.09,2026-08-26,UPI,Paid
220,220,9512.47,2026-07-19,UPI,Paid
221,221,6559.38,2026-08-03,Card,Refunded
222,222,13697.15,2026-08-08,Card,Refunded
223,223,23199.98,2026-08-30,NetBanking,Refunded
224,224,14829.56,2026-07-25,NetBanking,Refunded
225,225,17545.86,2026-07-05,Cash,Paid
226,226,5681.08,2026-08-22,NetBanking,Paid
227,227,11596.41,2026-07-23,UPI,Refunded
228,228,23225.3,2026-08-21,UPI,Paid
229,229,4546.45,2026-08-11,Cash,Refunded
230,230,15167.43,2026-08-14,NetBanking,Paid
231,231,16971.97,2026-07-19,Cash,Paid
232,232,19679.26,2026-07-19,NetBanking,Paid
233,233,10984.01,2026-08-01,UPI,Paid
234,234,9734.08,2026-07-31,NetBanking,Paid
235,235,24826.47,2026-08-19,Cash,Paid
236,236,18225.29,2026-08-03,UPI,Paid
237,237,4506.72,2026-08-27,Card,Paid
238,238,19133.28,2026-08-04,UPI,Paid
239,239,9316.28,2026-07-13,Cash,Refunded
240,240,3679.79,2026-08-22,NetBanking,Paid
241,241,14289.65,2026-07-12,Cash,Paid
242,242,3506.22,2026-07-14,UPI,Paid
243,243,6678.37,2026-07-15,Cash,Paid
244,244,7081.19,2026-07-14,UPI,Paid
245,245,11083.5,2026-08-27,UPI,Refunded
246,246,2606.62,2026-07-16,Cash,Refunded
247,247,24709.42,2026-08-22,Card,Paid
248,248,21350.21,2026-07-03,Card,Paid
249,249,8038.9,2026-08-12,Cash,Pending
250,250,12013.91,2026-08-06,Cash,Paid
251,251,22270.32,2026-08-17,Cash,Paid
252,252,2730.12,2026-08-22,NetBanking,Paid
253,253,21459.27,2026-07-13,NetBanking,Paid
254,254,2734.67,2026-08-14,NetBanking,Paid
255,255,19760.35,2026-07-09,Card,Paid
256,256,5073.56,2026-07-11,NetBanking,Paid
257,257,14581.14,2026-07-11,Cash,Refunded
258,258,18588.03,2026-08-14,NetBanking,Paid
259,259,8944.88,2026-08-24,Cash,Paid
260,260,5186.52,2026-08-22,Card,Refunded
261,261,14981.87,2026-08-01,Card,Paid
262,262,24900.07,2026-07-31,NetBanking,Paid
263,263,7644.51,2026-08-23,NetBanking,Paid
264,264,19657.18,2026-08-21,UPI,Paid
265,265,16344.72,2026-07-29,Card,Paid
266,266,19805.35,2026-08-12,Card,Paid
267,267,18810.48,2026-07-03,UPI,Refunded
268,268,10180.32,2026-08-30,Cash,Refunded
269,269,10377.64,2026-07-13,UPI,Paid
270,270,5944.69,2026-07-19,UPI,Paid
271,271,16612.31,2026-07-22,NetBanking,Paid
272,272,12411.94,2026-08-23,Card,Paid
273,273,8975.65,2026-07-11,Card,Paid
274,274,9644.96,2026-07-08,UPI,Paid
275,275,14521.16,2026-08-09,Card,Paid
276,276,9737.27,2026-07-03,Card,Refunded
277,277,17897.12,2026-07-01,NetBanking,Paid
278,278,3814.39,2026-07-25,UPI,Pending
279,279,19648.97,2026-07-03,UPI,Paid
280,280,21039.96,2026-07-31,NetBanking,Paid
281,281,16361.1,2026-07-29,Card,Paid
282,282,16283.69,2026-07-23,NetBanking,Paid
283,283,22717.98,2026-07-30,Cash,Paid
284,284,8954.43,2026-08-16,Card,Refunded
285,285,11240.16,2026-07-17,Card,Paid
286,286,2971.09,2026-08-21,Cash,Paid
287,287,12848.47,2026-08-15,Card,Refunded
288,288,5313.04,2026-08-10,Cash,Paid
289,289,11630.33,2026-08-26,NetBanking,Paid
290,290,12677.02,2026-08-30,NetBanking,Paid
291,291,10100.53,2026-08-12,NetBanking,Paid
292,292,14423.58,2026-07-16,Card,Paid
293,293,15288.7,2026-08-30,Cash,Refunded
294,294,14834.62,2026-08-18,NetBanking,Paid
295,295,9405.23,2026-07-26,Card,Paid
296,296,14713.65,2026-07-29,Cash,Refunded
297,297,24003.99,2026-08-25,NetBanking,Paid
298,298,7386.51,2026-08-05,Card,Paid
299,299,23585.24,2026-07-28,Card,Refunded
300,300,3036.3,2026-07-14,NetBanking,Paid
301,301,6377.67,2026-08-17,Card,Paid
302,302,15439.06,2026-08-21,Card,Paid
303,303,9621.04,2026-07-16,Card,Paid
304,304,13450.41,2026-08-09,UPI,Paid
305,305,20206.65,2026-07-06,UPI,Paid
306,306,21900.61,2026-07-04,Cash,Pending
307,307,9549.11,2026-08-27,Cash,Paid
308,308,5888.57,2026-07-14,Cash,Paid
309,309,10666.15,2026-08-28,Cash,Paid
310,310,21135.73,2026-07-31,Cash,Paid
311,311,9019.17,2026-07-07,Card,Refunded
312,312,5920.38,2026-07-27,UPI,Paid
313,313,16411.5,2026-07-11,NetBanking,Paid
314,314,8827.78,2026-08-24,Card,Refunded
315,315,17437.05,2026-07-10,NetBanking,Paid
316,316,3386.01,2026-08-26,NetBanking,Paid
317,317,13229.8,2026-08-19,UPI,Paid
318,318,24724.89,2026-07-24,NetBanking,Paid
319,319,6591.26,2026-08-27,UPI,Refunded
320,320,23798.59,2026-08-06,Cash,Pending
321,321,24725.84,2026-08-26,Cash,Paid
322,322,5536.23,2026-07-20,NetBanking,Refunded
323,323,4996.87,2026-08-29,Card,Refunded
324,324,9715.72,2026-08-15,UPI,Paid
325,325,24630.35,2026-08-01,UPI,Paid
326,326,15782.26,2026-07-11,Cash,Pending
327,327,6820.52,2026-07-18,UPI,Paid
328,328,22880.87,2026-07-04,Card,Paid
329,329,8420.05,2026-07-28,Cash,Paid
330,330,19374.95,2026-08-18,NetBanking,Paid
331,331,9990.67,2026-07-03,Card,Pending
332,332,23347.27,2026-07-01,UPI,Paid
333,333,6991.95,2026-07-31,NetBanking,Paid
334,334,18143.99,2026-07-18,NetBanking,Paid
335,335,20570.79,2026-08-24,NetBanking,Paid
336,336,10197.9,2026-08-30,Cash,Paid
337,337,14928.61,2026-08-01,Cash,Paid
338,338,23050.54,2026-08-28,UPI,Paid
339,339,23050.19,2026-08-25,UPI,Paid
340,340,5391.83,2026-08-18,UPI,Paid
341,341,6484.91,2026-07-05,Card,Paid
342,342,7831.27,2026-07-06,UPI,Paid
343,343,2802.56,2026-08-21,Cash,Pending
344,344,16392.87,2026-07-10,NetBanking,Paid
345,345,9945.26,2026-08-12,UPI,Paid
346,346,3763.74,2026-07-09,Card,Refunded
347,347,23347.64,2026-07-12,UPI,Paid
348,348,4560.68,2026-07-28,Card,Paid
349,349,18632.03,2026-07-25,Cash,Paid
350,350,6834.37,2026-08-22,Card,Paid
351,351,13644.26,2026-08-15,Card,Paid
352,352,18960.21,2026-08-07,UPI,Paid
353,353,13920.65,2026-07-06,Card,Refunded
354,354,8423.39,2026-08-26,Card,Paid
355,355,18314.53,2026-07-05,Card,Paid
356,356,9731.62,2026-07-15,Card,Paid
357,357,21310.91,2026-07-19,NetBanking,Paid
358,358,8921.57,2026-07-28,Cash,Paid
359,359,19047.47,2026-08-03,UPI,Paid
360,360,24283.13,2026-07-17,Cash,Paid
361,361,3954.7,2026-07-05,NetBanking,Paid
362,362,18990.57,2026-08-09,NetBanking,Paid
363,363,19699.76,2026-08-15,NetBanking,Paid
364,364,19246.05,2026-07-06,Cash,Paid
365,365,23117.5,2026-07-24,UPI,Paid
366,366,18860.85,2026-07-21,NetBanking,Paid
367,367,20746.72,2026-07-24,NetBanking,Paid
368,368,13504.47,2026-08-04,Card,Paid
369,369,6337.44,2026-08-14,Cash,Paid
370,370,22299.43,2026-07-21,NetBanking,Paid
371,371,22729.52,2026-07-29,Card,Paid
372,372,19387.42,2026-07-27,UPI,Pending
373,373,20235.97,2026-07-25,Card,Paid
374,374,2813.88,2026-08-20,Card,Paid
375,375,23785.97,2026-07-14,UPI,Paid
376,376,13126.49,2026-07-18,Cash,Paid
377,377,13689.75,2026-07-11,Cash,Paid
378,378,21710.83,2026-07-18,Card,Paid
379,379,16153.56,2026-08-01,NetBanking,Paid
380,380,21660.93,2026-08-01,UPI,Paid
381,381,4885.26,2026-08-30,Cash,Paid
382,382,16175.9,2026-07-10,Card,Paid
383,383,13620.21,2026-07-14,NetBanking,Paid
384,384,24029.28,2026-08-10,Card,Paid
385,385,9488.77,2026-08-09,NetBanking,Paid
386,386,15980.11,2026-08-03,Cash,Paid
387,387,10900.48,2026-08-14,Card,Paid
388,388,24334.69,2026-07-05,UPI,Paid
389,389,11882.51,2026-07-14,Cash,Paid
390,390,22978.29,2026-08-27,Cash,Paid
391,391,22791.4,2026-07-31,Cash,Paid
392,392,15487.45,2026-07-22,Card,Refunded
393,393,24223.16,2026-08-20,Card,Paid
394,394,16211.21,2026-08-22,Card,Paid
395,395,13069.43,2026-07-02,Cash,Paid
396,396,4650.61,2026-08-18,Card,Paid
397,397,4329.42,2026-08-01,NetBanking,Paid
398,398,22545.49,2026-08-16,Cash,Paid
399,399,11265.47,2026-07-13,Cash,Paid
400,400,10685.11,2026-08-19,UPI,Paid
401,401,7525.0,2026-07-01,Cash,Paid
402,402,16464.68,2026-08-05,Card,Paid
403,403,24025.02,2026-08-01,Cash,Paid
404,404,14566.98,2026-08-22,Card,Refunded
405,405,15945.71,2026-07-08,Cash,Paid
406,406,19048.63,2026-07-13,Cash,Paid
407,407,10960.2,2026-08-14,UPI,Paid
408,408,7095.4,2026-07-19,UPI,Paid
409,409,16989.74,2026-07-27,UPI,Paid
410,410,19955.43,2026-07-10,NetBanking,Paid
411,411,14993.45,2026-08-08,NetBanking,Paid
412,412,4924.26,2026-07-18,NetBanking,Paid
413,413,18391.68,2026-07-30,Cash,Paid
414,414,5392.05,2026-07-02,UPI,Paid
415,415,9847.11,2026-07-31,Cash,Paid
416,416,21215.6,2026-07-25,UPI,Paid
417,417,17042.39,2026-07-26,Card,Paid
418,418,21311.65,2026-07-03,Cash,Paid
419,419,19521.06,2026-07-03,UPI,Paid
420,420,18557.44,2026-08-01,UPI,Refunded
421,421,5648.01,2026-07-07,Card,Refunded
422,422,7787.81,2026-08-18,Cash,Refunded
423,423,10108.56,2026-07-27,Cash,Paid
424,424,13580.25,2026-08-04,UPI,Paid
425,425,16940.92,2026-07-26,Card,Paid
426,426,4513.16,2026-07-14,NetBanking,Paid
427,427,19662.19,2026-08-25,Cash,Paid
428,428,3771.57,2026-08-13,UPI,Paid
429,429,21465.1,2026-07-15,NetBanking,Paid
430,430,7427.52,2026-07-15,Card,Refunded
431,431,5597.65,2026-07-21,Cash,Paid
432,432,16772.44,2026-07-26,UPI,Paid
433,433,9016.89,2026-07-02,NetBanking,Paid
434,434,3402.93,2026-08-07,UPI,Paid
435,435,15611.63,2026-07-01,Cash,Paid
436,436,15585.62,2026-07-24,Card,Paid
437,437,5925.76,2026-07-01,Cash,Paid
438,438,10921.76,2026-07-25,Card,Paid
439,439,19468.86,2026-07-17,Cash,Paid
440,440,22703.38,2026-07-26,UPI,Paid
441,441,12662.12,2026-07-29,NetBanking,Paid
442,442,5035.6,2026-07-25,UPI,Paid
443,443,22170.27,2026-07-13,Cash,Paid
444,444,17669.64,2026-08-26,Cash,Paid
445,445,3723.27,2026-08-10,Card,Paid
446,446,22398.56,2026-07-17,Card,Paid
447,447,9472.79,2026-07-14,Card,Pending
448,448,7142.94,2026-08-30,NetBanking,Paid
449,449,12802.4,2026-07-26,Card,Refunded
450,450,13303.95,2026-08-08,Cash,Paid
451,451,17508.05,2026-08-30,Card,Paid
452,452,4913.39,2026-07-01,UPI,Paid
453,453,21786.23,2026-08-30,Cash,Refunded
454,454,9327.55,2026-07-25,Card,Paid
455,455,10781.12,2026-08-11,Card,Refunded
456,456,19191.55,2026-07-24,UPI,Paid
457,457,17206.58,2026-07-20,UPI,Pending
458,458,9296.13,2026-07-17,NetBanking,Refunded
459,459,22465.64,2026-08-21,Card,Paid
460,460,16825.97,2026-08-30,UPI,Pending
461,461,23470.97,2026-07-12,UPI,Paid
462,462,18808.2,2026-07-30,Cash,Paid
463,463,18314.73,2026-07-31,UPI,Paid
464,464,5949.13,2026-07-05,NetBanking,Paid
465,465,3172.71,2026-08-01,NetBanking,Paid
466,466,11779.55,2026-07-01,UPI,Paid
467,467,24087.15,2026-08-26,Cash,Paid
468,468,18674.59,2026-07-13,Cash,Paid
469,469,8619.15,2026-08-25,Card,Paid
470,470,12579.76,2026-07-01,UPI,Pending
471,471,21296.33,2026-07-28,NetBanking,Paid
472,472,18600.31,2026-08-17,UPI,Paid
473,473,4489.36,2026-07-24,NetBanking,Paid
474,474,14753.29,2026-07-24,Cash,Paid
475,475,14667.26,2026-07-21,Cash,Paid
476,476,15554.77,2026-07-24,NetBanking,Refunded
477,477,19764.55,2026-07-10,NetBanking,Paid
478,478,11676.08,2026-07-28,UPI,Paid
479,479,22407.38,2026-07-22,Cash,Paid
480,480,12642.3,2026-08-04,Card,Pending
481,481,10227.71,2026-08-28,Card,Paid
482,482,14654.75,2026-08-23,Card,Pending
483,483,15408.08,2026-08-22,Card,Paid
484,484,11417.88,2026-08-22,NetBanking,Pending
485,485,24786.34,2026-08-04,UPI,Paid
486,486,15447.95,2026-07-17,Card,Paid
487,487,17890.24,2026-08-20,Cash,Paid
488,488,9823.46,2026-08-23,Cash,Paid
489,489,11386.61,2026-08-12,NetBanking,Paid
490,490,10400.52,2026-07-27,UPI,Paid
491,491,16987.8,2026-07-10,Card,Paid
492,492,22596.63,2026-08-02,UPI,Paid
493,493,23106.48,2026-08-14,Cash,Paid
494,494,11637.7,2026-08-22,Card,Paid
495,495,4673.21,2026-08-22,Card,Paid
496,496,3199.69,2026-07-08,Card,Paid
497,497,19961.53,2026-07-05,UPI,Paid
498,498,23897.78,2026-07-28,Cash,Paid
499,499,2737.79,2026-08-08,Cash,Paid
500,500,10935.61,2026-07-20,NetBanking,Paid
501,501,23190.0,2026-08-10,UPI,Paid
502,502,24482.8,2026-08-01,Cash,Paid
503,503,8255.1,2026-07-31,NetBanking,Paid
504,504,19820.22,2026-07-28,Cash,Refunded
505,505,17909.08,2026-07-02,NetBanking,Paid
506,506,13467.59,2026-08-27,UPI,Paid
507,507,14734.04,2026-07-06,Card,Paid
508,508,18601.19,2026-08-29,UPI,Paid
509,509,19353.67,2026-07-16,NetBanking,Paid
510,510,9470.81,2026-08-19,NetBanking,Paid
511,511,11738.66,2026-07-01,Card,Paid
512,512,17692.96,2026-07-02,NetBanking,Paid
513,513,6577.75,2026-07-18,NetBanking,Paid
514,514,14552.42,2026-08-16,UPI,Paid
515,515,5147.54,2026-08-03,NetBanking,Paid
516,516,12663.83,2026-08-24,Card,Paid
517,517,16025.21,2026-07-28,UPI,Paid
518,518,24292.71,2026-07-05,Card,Paid
519,519,8103.46,2026-07-25,Card,Paid
520,520,3487.18,2026-07-12,Card,Paid
521,521,17868.25,2026-08-24,NetBanking,Paid
522,522,12504.99,2026-08-14,UPI,Paid
523,523,5632.12,2026-08-17,UPI,Paid
524,524,10750.2,2026-08-14,NetBanking,Paid
525,525,14316.44,2026-08-14,Cash,Paid
526,526,4892.38,2026-07-31,UPI,Paid
527,527,15038.84,2026-07-28,UPI,Paid
528,528,8412.45,2026-08-30,Cash,Paid
529,529,13910.06,2026-07-16,Card,Paid
530,530,6144.89,2026-08-06,Card,Paid
531,531,12537.3,2026-08-04,Cash,Paid
532,532,13252.29,2026-08-20,Card,Paid
533,533,5106.62,2026-07-03,Card,Paid
534,534,9257.72,2026-08-17,NetBanking,Paid
535,535,3849.86,2026-08-20,UPI,Paid
536,536,17483.0,2026-08-07,UPI,Paid
537,537,20757.89,2026-07-21,Card,Pending
538,538,20527.57,2026-07-13,NetBanking,Paid
539,539,7317.76,2026-07-12,NetBanking,Paid
540,540,16608.17,2026-08-24,UPI,Paid
541,541,5356.5,2026-08-02,Card,Pending
542,542,4029.87,2026-08-02,UPI,Paid
543,543,8059.03,2026-08-18,NetBanking,Paid
544,544,10638.76,2026-07-15,Cash,Paid
545,545,19428.35,2026-07-03,Cash,Paid
546,546,3122.47,2026-08-12,Cash,Paid
547,547,16144.82,2026-08-25,Card,Paid
548,548,5364.84,2026-08-09,NetBanking,Paid
549,549,19497.18,2026-07-11,Card,Paid
550,550,8971.62,2026-08-19,UPI,Paid
551,551,3195.57,2026-07-05,UPI,Paid
552,552,19983.58,2026-08-19,UPI,Paid
553,553,11348.52,2026-07-30,Cash,Paid
554,554,14544.05,2026-07-21,Cash,Pending
555,555,13073.02,2026-08-01,NetBanking,Paid
556,556,21388.92,2026-08-07,Card,Paid
557,557,4547.22,2026-08-01,Cash,Paid
558,558,16368.25,2026-07-05,Cash,Paid
559,559,23518.62,2026-08-25,Cash,Paid
560,560,7626.45,2026-08-29,Cash,Refunded
561,561,15235.34,2026-07-23,Cash,Paid
562,562,10037.47,2026-08-13,NetBanking,Paid
563,563,15949.61,2026-08-12,Card,Paid
564,564,22537.38,2026-07-09,Cash,Paid
565,565,17934.54,2026-08-15,Cash,Paid
566,566,12910.53,2026-08-03,Card,Paid
567,567,18761.71,2026-07-19,Card,Paid
568,568,20273.76,2026-08-23,Cash,Paid
569,569,17068.24,2026-08-01,Cash,Paid
570,570,13397.72,2026-07-18,NetBanking,Paid
571,571,5792.65,2026-08-08,UPI,Paid
572,572,24246.56,2026-08-22,NetBanking,Paid
