ticket_id,booking_id,ticket_number,fare_amount,issue_date
615,615,TCK10614,13721.03,2026-07-04
616,616,TCK10615,16033.52,2026-07-22
617,617,TCK10616,3007.21,2026-08-22
618,618,TCK10617,23663.89,2026-08-29
619,619,TCK10618,21133.34,2026-07-25
620,620,TCK10619,18323.65,2026-07-05
621,621,TCK10620,22129.96,2026-07-11
622,622,TCK10621,24282.58,2026-07-05
623,623,TCK10622,14524.54,2026-07-16
624,624,TCK10623,21696.89,2026-08-29
625,625,TCK10624,16253.07,2026-07-20
626,626,TCK10625,11482.44,2026-07-04
627,627,TCK10626,14783.69,2026-08-27
628,628,TCK10627,4994.68,2026-07-31
629,629,TCK10628,23580.85,2026-07-17
630,630,TCK10629,17197.72,2026-07-03
631,631,TCK10630,10106.02,2026-07-17
632,632,TCK10631,7011.5,2026-08-26
633,633,TCK10632,19706.56,2026-07-09
