refund_id,cancellation_id,refund_amount,refund_date,refund_status
129,129,9561.8,2026-09-08,Processing
130,130,15592.1,2026-07-24,Completed
131,131,15843.93,2026-08-30,Rejected
132,132,1548.94,2026-07-18,Completed
133,133,17283.71,2026-08-02,Processing
134,134,16179.67,2026-09-04,Processing
135,135,15882.3,2026-09-02,Rejected
136,136,4502.18,2026-08-05,Processing
137,137,14311.37,2026-07-13,Completed
138,138,8533.32,2026-07-31,Rejected
139,139,12556.56,2026-07-24,Completed
140,140,1173.97,2026-09-07,Rejected
141,141,9084.42,2026-09-02,Completed
142,142,3249.87,2026-07-19,Processing
143,143,4439.84,2026-08-27,Processing
144,144,9135.46,2026-09-04,Processing
145,145,14185.04,2026-08-09,Processing
146,146,8623.49,2026-08-27,Processing
147,147,12652.19,2026-08-03,Completed
148,148,2969.47,2026-07-21,Processing
149,149,14473.68,2026-07-16,Completed
150,150,8077.68,2026-09-02,Rejected
