seat_booking_id,booking_id,seat_id
952,952,131
953,953,191
954,954,223
955,955,133
956,956,104
957,957,123
958,958,159
959,959,231
960,960,44
961,961,89
962,962,165
963,963,40
964,964,151
965,965,219
966,966,129
967,967,81
968,968,134
969,969,96
970,970,97
971,971,222
972,972,238
973,973,125
974,974,166
975,975,44
976,976,223
977,977,135
978,978,124
979,979,45
980,980,124
981,981,230
982,982,98
983,983,4
984,984,172
985,985,17
986,986,88
987,987,58
988,988,80
989,989,53
990,990,58
991,991,39
992,992,72
993,993,156
994,994,200
995,995,187
996,996,203
997,997,31
998,998,167
999,999,51
1000,1000,92
1001,1001,128
1002,1002,118
1003,1003,146
1004,1004,234
1005,1005,164
1006,1006,233
1007,1007,4
1008,1008,216
1009,1009,192
1010,1010,217
1011,1011,210
1012,1012,201
1013,1013,202
1014,1014,135
1015,1015,230
1016,1016,59
1017,1017,190
1018,1018,52
1019,1019,94
1020,1020,171
1021,1021,9
1022,1022,103
1023,1023,161
1024,1024,26
1025,1025,85
1026,1026,130
1027,1027,18
1028,1028,70
1029,1029,142
1030,1030,137
1031,1031,217
1032,1032,190
1033,1033,138
1034,1034,224
1035,1035,21
1036,1036,205
1037,1037,15
1038,1038,115
1039,1039,146
1040,1040,134
1041,1041,64
1042,1042,63
1043,1043,66
1044,1044,205
1045,1045,190
1046,1046,47
1047,1047,177
1048,1048,240
1049,1049,167
1050,1050,220
1051,1051,63
1052,1052,59
1053,1053,177
1054,1054,184
1055,1055,117
1056,1056,46
1057,1057,11
1058,1058,156
1059,1059,69
1060,1060,142
1061,1061,72
1062,1062,24
1063,1063,191
1064,1064,49
1065,1065,188
1066,1066,213
1067,1067,235
1068,1068,17
1069,1069,232
1070,1070,232
1071,1071,34
1072,1072,134
1073,1073,78
1074,1074,16
1075,1075,54
1076,1076,59
1077,1077,63
1078,1078,150
1079,1079,195
1080,1080,149
1081,1081,123
1082,1082,119
1083,1083,26
1084,1084,138
1085,1085,226
1086,1086,201
1087,1087,14
1088,1088,82
1089,1089,203
1090,1090,163
1091,1091,19
1092,1092,51
1093,1093,123
1094,1094,30
1095,1095,114
1096,1096,22
1097,1097,122
1098,1098,51
1099,1099,26
1100,1100,139
1101,1101,151
1102,1102,56
1103,1103,154
1104,1104,125
1105,1105,77
1106,1106,146
1107,1107,3
1108,1108,149
1109,1109,111
1110,1110,221
1111,1111,232
1112,1112,29
1113,1113,185
1114,1114,227
1115,1115,114
1116,1116,200
1117,1117,165
1118,1118,50
1119,1119,151
1120,1120,207
1121,1121,163
1122,1122,158
1123,1123,194
1124,1124,117
1125,1125,1
1126,1126,65
1127,1127,194
1128,1128,105
1129,1129,154
1130,1130,70
1131,1131,127
1132,1132,162
1133,1133,46
1134,1134,85
1135,1135,130
1136,1136,124
1137,1137,132
1138,1138,73
1139,1139,166
1140,1140,77
1141,1141,68
1142,1142,223
1143,1143,137
1144,1144,64
1145,1145,88
1146,1146,71
1147,1147,174
1148,1148,144
1149,1149,129
1150,1150,80
1151,1151,161
1152,1152,113
1153,1153,29
1154,1154,194
1155,1155,47
1156,1156,125
1157,1157,2
1158,1158,82
1159,1159,229
1160,1160,131
1161,1161,121
1162,1162,127
1163,1163,42
1164,1164,46
1165,1165,17
1166,1166,195
1167,1167,111
1168,1168,173
1169,1169,78
1170,1170,25
1171,1171,237
1172,1172,221
1173,1173,114
1174,1174,88
1175,1175,164
1176,1176,176
1177,1177,138
1178,1178,211
1179,1179,47
1180,1180,50
1181,1181,200
1182,1182,28
1183,1183,196
1184,1184,60
1185,1185,55
1186,1186,79
1187,1187,129
1188,1188,79
1189,1189,82
1190,1190,197
1191,1191,136
1192,1192,121
1193,1193,27
1194,1194,176
1195,1195,77
1196,1196,238
1197,1197,157
1198,1198,54
1199,1199,147
1200,1200,173
