baggage_id,ticket_id,weight_kg,baggage_type
172,738,15.95,Check-in
173,691,26.78,Check-in
174,862,18.25,Cabin
175,560,29.48,Cabin
176,80,23.63,Cabin
177,397,19.71,Check-in
178,515,27.27,Check-in
179,1121,12.59,Check-in
180,652,25.01,Cabin
181,611,15.15,Check-in
182,1107,6.19,Cabin
183,109,16.14,Cabin
184,567,22.62,Cabin
185,738,16.22,Cabin
186,722,7.0,Cabin
187,327,10.15,Check-in
188,20,19.85,Cabin
189,665,7.68,Cabin
190,634,23.27,Check-in
191,479,7.49,Check-in
192,206,16.57,Cabin
193,195,20.03,Check-in
194,292,13.21,Cabin
195,912,22.05,Check-in
196,363,9.2,Check-in
197,832,22.93,Cabin
198,479,12.88,Cabin
199,171,22.06,Check-in
200,170,21.67,Check-in
201,897,27.53,Cabin
202,122,5.26,Cabin
203,104,6.97,Check-in
204,691,10.36,Check-in
205,711,29.17,Cabin
206,902,20.84,Cabin
207,66,15.95,Check-in
208,1009,7.5,Cabin
209,392,26.11,Cabin
210,1128,6.24,Cabin
211,750,21.1,Check-in
212,135,6.2,Cabin
213,590,28.93,Check-in
214,623,24.32,Check-in
215,417,22.25,Check-in
216,7,11.94,Check-in
217,65,26.96,Cabin
218,94,17.66,Cabin
219,132,6.8,Cabin
220,193,28.89,Cabin
221,357,29.0,Cabin
222,709,24.0,Check-in
223,766,22.15,Cabin
224,301,6.14,Cabin
225,145,5.83,Cabin
226,998,19.23,Check-in
227,40,14.94,Cabin
228,1122,6.47,Cabin
229,900,16.94,Check-in
230,495,29.9,Cabin
231,257,22.92,Check-in
232,397,19.26,Cabin
233,629,19.53,Cabin
234,461,5.51,Cabin
235,1006,16.46,Check-in
236,685,13.2,Check-in
237,330,20.82,Check-in
238,150,17.33,Cabin
239,642,11.38,Cabin
240,377,12.15,Cabin
241,1101,11.37,Check-in
242,383,21.54,Check-in
243,449,24.73,Cabin
244,678,26.4,Check-in
245,32,23.43,Check-in
246,1171,6.0,Cabin
247,96,13.9,Check-in
248,1108,18.89,Cabin
249,1046,11.33,Check-in
250,311,27.16,Check-in
251,182,14.6,Cabin
252,451,24.86,Check-in
253,577,27.41,Cabin
254,935,13.35,Cabin
255,663,26.43,Check-in
256,180,9.27,Cabin
257,639,9.19,Check-in
258,473,28.83,Check-in
259,859,21.78,Check-in
260,18,27.12,Check-in
261,938,14.25,Check-in
262,160,11.4,Cabin
263,51,22.37,Check-in
264,3,27.68,Check-in
265,187,25.03,Check-in
266,463,22.84,Check-in
267,371,9.73,Check-in
268,203,21.18,Check-in
269,139,13.81,Check-in
270,1070,19.32,Cabin
271,9,22.16,Check-in
272,889,7.66,Check-in
273,1031,15.91,Cabin
274,681,18.76,Check-in
275,641,19.22,Cabin
276,964,9.19,Check-in
277,782,18.9,Check-in
278,104,23.76,Cabin
279,485,16.97,Check-in
280,138,18.69,Cabin
281,317,17.71,Cabin
282,354,25.09,Cabin
283,680,29.04,Cabin
284,110,21.43,Check-in
285,345,23.06,Cabin
286,333,5.03,Check-in
287,1129,10.34,Cabin
288,1100,8.19,Check-in
289,278,21.56,Check-in
290,122,11.3,Cabin
291,571,17.18,Cabin
292,433,23.28,Check-in
293,136,15.54,Cabin
294,1183,20.06,Check-in
295,21,21.83,Check-in
296,262,5.9,Check-in
297,104,11.92,Check-in
298,449,26.31,Check-in
299,899,17.45,Check-in
300,212,11.09,Check-in
301,85,27.46,Check-in
302,1031,7.34,Cabin
303,97,15.18,Cabin
304,404,5.07,Check-in
305,706,22.88,Check-in
306,902,16.42,Cabin
307,815,27.58,Check-in
308,1101,10.61,Check-in
309,47,21.29,Check-in
310,852,22.07,Check-in
311,962,12.46,Check-in
312,326,19.55,Check-in
313,245,28.6,Check-in
314,540,11.2,Cabin
315,137,20.5,Cabin
316,333,8.77,Check-in
317,416,28.47,Cabin
318,998,5.35,Check-in
319,752,15.15,Cabin
320,856,26.04,Cabin
321,944,28.85,Check-in
322,785,10.85,Cabin
323,314,7.1,Cabin
324,742,14.04,Cabin
325,1191,12.17,Cabin
326,616,21.4,Cabin
327,884,14.79,Check-in
328,628,20.12,Check-in
329,461,19.19,Cabin
330,18,12.56,Cabin
331,343,16.34,Check-in
332,346,14.63,Cabin
333,241,7.21,Check-in
334,524,10.41,Cabin
335,282,27.99,Cabin
336,1137,22.39,Cabin
337,310,7.54,Check-in
338,1094,23.37,Check-in
339,835,8.69,Check-in
340,638,27.69,Check-in
341,1170,22.07,Cabin
342,452,10.03,Cabin
343,491,27.18,Cabin
344,944,29.35,Check-in
345,749,21.67,Cabin
346,1089,10.9,Check-in
347,534,28.73,Check-in
348,494,6.94,Cabin
349,1084,17.49,Check-in
350,766,29.5,Cabin
351,758,26.59,Cabin
352,1155,21.88,Cabin
353,678,24.9,Cabin
354,550,23.04,Cabin
355,409,14.01,Check-in
356,895,14.27,Cabin
357,555,14.83,Cabin
358,131,15.77,Cabin
359,260,6.98,Cabin
360,585,14.25,Check-in
361,1173,13.3,Cabin
362,1041,7.19,Cabin
363,380,24.01,Check-in
364,662,24.66,Cabin
365,1180,14.53,Cabin
366,915,9.54,Check-in
367,28,16.33,Cabin
368,280,10.99,Check-in
369,545,9.54,Check-in
370,586,6.32,Cabin
371,1116,19.59,Check-in
372,323,28.52,Check-in
373,617,24.42,Cabin
374,438,22.96,Check-in
375,928,19.16,Check-in
376,938,10.65,Check-in
377,62,18.35,Check-in
378,1016,28.5,Cabin
379,343,8.55,Check-in
380,163,14.21,Cabin
381,190,27.9,Cabin
382,652,8.91,Cabin
383,573,23.48,Check-in
384,887,27.23,Cabin
385,532,11.68,Cabin
386,100,7.81,Check-in
387,336,26.74,Check-in
388,1084,15.27,Cabin
389,303,10.56,Cabin
390,948,16.32,Cabin
391,820,22.05,Cabin
392,386,9.87,Check-in
393,229,11.97,Check-in
394,96,28.13,Cabin
395,313,25.34,Check-in
396,51,28.19,Cabin
397,667,21.23,Check-in
398,75,5.63,Check-in
399,991,26.41,Check-in
400,263,6.64,Check-in
401,655,16.58,Check-in
402,246,15.64,Cabin
403,465,29.19,Check-in
404,446,24.08,Check-in
405,1013,29.84,Check-in
406,407,8.04,Cabin
407,709,13.78,Check-in
408,1062,24.39,Check-in
409,55,20.02,Check-in
410,1179,23.16,Cabin
411,505,13.6,Cabin
412,722,25.68,Check-in
413,481,8.71,Check-in
414,907,10.67,Check-in
415,1070,20.08,Check-in
416,3,12.18,Cabin
417,455,24.55,Check-in
418,265,10.67,Cabin
419,179,17.68,Check-in
420,962,14.93,Check-in
421,1129,29.4,Check-in
422,1048,9.69,Cabin
423,248,24.11,Check-in
424,410,14.53,Check-in
425,29,17.28,Check-in
426,812,7.49,Check-in
427,1144,21.94,Check-in
428,184,29.09,Cabin
429,891,28.08,Cabin
430,1094,26.49,Cabin
431,980,10.01,Cabin
432,538,8.28,Check-in
433,444,29.55,Check-in
434,291,28.81,Check-in
435,218,23.86,Cabin
436,520,29.93,Cabin
437,1148,29.76,Check-in
438,378,9.47,Cabin
439,830,6.43,Check-in
440,692,10.28,Check-in
441,798,11.06,Cabin
442,502,6.67,Check-in
443,1089,6.39,Cabin
444,1008,11.89,Check-in
445,13,17.14,Cabin
446,470,26.42,Cabin
447,250,21.33,Cabin
448,305,5.34,Check-in
449,451,24.37,Check-in
450,822,21.53,Cabin
451,818,10.73,Cabin
452,749,14.65,Cabin
453,567,24.77,Check-in
454,741,12.96,Check-in
455,357,28.42,Check-in
456,755,7.16,Cabin
457,148,6.94,Cabin
458,676,15.71,Check-in
459,1167,28.33,Check-in
460,1181,23.02,Check-in
461,658,16.27,Cabin
462,733,25.12,Check-in
463,978,25.09,Check-in
464,38,11.34,Cabin
465,325,21.67,Check-in
466,1017,7.4,Check-in
467,307,12.69,Check-in
468,1171,11.09,Cabin
469,827,16.57,Cabin
470,832,5.91,Cabin
471,442,6.85,Cabin
472,1005,27.33,Check-in
473,164,24.95,Check-in
474,271,15.95,Cabin
475,58,16.51,Cabin
476,1182,29.1,Cabin
477,1116,15.51,Check-in
478,426,28.52,Cabin
479,416,7.88,Check-in
480,783,13.22,Check-in
481,64,28.85,Cabin
482,373,10.83,Check-in
483,94,8.96,Check-in
484,721,26.05,Cabin
485,996,25.19,Cabin
486,580,19.08,Cabin
487,582,17.0,Check-in
488,3,8.51,Cabin
489,811,12.65,Cabin
490,1017,15.02,Cabin
491,922,28.08,Check-in
492,860,25.41,Cabin
493,712,15.67,Check-in
494,527,26.45,Check-in
495,48,15.17,Cabin
496,645,22.48,Cabin
497,408,5.94,Cabin
498,558,19.13,Check-in
499,952,16.03,Check-in
500,1159,21.25,Check-in
501,1166,22.4,Check-in
502,658,10.15,Cabin
503,955,22.98,Check-in
504,754,13.74,Check-in
505,1084,9.03,Cabin
506,423,15.66,Check-in
507,161,26.33,Cabin
508,1075,20.52,Cabin
509,806,13.72,Cabin
510,848,21.44,Check-in
511,612,29.31,Cabin
512,599,23.63,Cabin
513,528,24.64,Cabin
514,249,14.89,Check-in
515,497,25.84,Cabin
516,565,19.46,Cabin
517,464,19.37,Cabin
518,840,11.59,Check-in
519,300,10.61,Cabin
520,1026,15.5,Cabin
521,448,29.71,Cabin
522,205,11.23,Check-in
523,17,29.94,Cabin
524,265,6.53,Check-in
525,236,26.51,Check-in
526,981,13.17,Cabin
527,395,12.18,Cabin
528,759,13.42,Check-in
529,258,5.93,Check-in
530,88,12.54,Cabin
531,624,14.54,Check-in
532,304,23.09,Check-in
533,1161,6.37,Check-in
534,290,27.43,Cabin
535,219,8.41,Check-in
536,418,23.35,Cabin
537,683,26.46,Cabin
538,1083,22.67,Cabin
539,390,13.27,Cabin
540,966,29.1,Cabin
541,162,28.07,Check-in
542,141,11.53,Cabin
543,1132,12.46,Cabin
544,671,14.91,Check-in
545,174,6.81,Cabin
546,99,27.13,Cabin
547,376,9.76,Cabin
548,323,28.32,Check-in
549,69,26.45,Check-in
550,635,16.44,Check-in
551,543,15.16,Check-in
552,39,12.53,Cabin
553,1187,15.39,Cabin
554,1107,25.78,Check-in
555,1131,24.79,Cabin
556,289,19.23,Cabin
557,782,23.83,Check-in
558,314,27.15,Check-in
559,998,15.95,Cabin
560,132,16.65,Check-in
561,77,12.55,Cabin
562,120,8.88,Cabin
563,97,9.08,Cabin
564,865,14.77,Check-in
565,919,23.79,Check-in
566,408,10.03,Check-in
567,479,5.23,Check-in
568,276,13.25,Check-in
569,442,10.11,Check-in
570,471,5.55,Check-in
571,520,15.21,Cabin
572,139,23.35,Check-in
573,877,24.58,Cabin
574,22,15.94,Cabin
575,291,24.4,Cabin
576,646,11.23,Check-in
577,356,11.95,Cabin
578,432,6.4,Check-in
579,473,23.37,Cabin
580,999,9.27,Check-in
581,444,11.77,Check-in
582,96,8.18,Cabin
583,939,6.7,Check-in
584,187,16.36,Check-in
585,335,21.55,Check-in
586,600,6.3,Cabin
587,120,15.98,Cabin
588,531,21.51,Cabin
589,209,25.79,Cabin
590,1015,13.03,Cabin
591,848,7.65,Check-in
592,541,6.25,Cabin
593,1110,10.68,Cabin
594,316,24.72,Cabin
595,304,13.49,Check-in
596,369,8.89,Check-in
597,1198,24.55,Cabin
598,790,14.86,Cabin
599,522,27.87,Check-in
600,507,17.14,Check-in
601,925,19.34,Check-in
602,382,7.49,Check-in
603,177,29.48,Check-in
604,1088,16.45,Check-in
605,483,22.42,Cabin
606,103,21.74,Check-in
607,931,26.38,Cabin
608,597,22.34,Check-in
609,310,13.81,Cabin
610,727,9.46,Cabin
611,225,17.35,Check-in
612,360,8.55,Cabin
613,795,23.71,Check-in
614,452,18.94,Check-in
615,335,5.54,Cabin
616,307,8.61,Cabin
617,361,14.42,Cabin
618,534,19.78,Cabin
619,394,27.72,Check-in
620,1106,25.41,Check-in
621,594,12.36,Cabin
622,38,12.62,Cabin
623,1042,19.98,Cabin
624,25,11.77,Check-in
625,341,5.26,Cabin
626,774,24.15,Cabin
627,147,20.3,Cabin
628,389,24.7,Cabin
629,1018,11.43,Check-in
630,814,15.68,Check-in
631,328,28.69,Cabin
632,849,10.83,Check-in
633,927,28.03,Cabin
634,654,24.87,Check-in
635,735,19.18,Check-in
636,857,7.01,Cabin
637,716,18.57,Check-in
638,275,5.69,Cabin
639,1173,23.13,Check-in
640,310,19.81,Check-in
641,147,13.06,Cabin
642,448,6.05,Cabin
643,647,23.94,Cabin
644,477,15.9,Cabin
645,316,21.14,Check-in
646,608,21.6,Check-in
647,88,15.79,Check-in
648,687,21.58,Check-in
649,1129,13.49,Check-in
650,420,23.1,Check-in
651,1103,24.01,Check-in
652,90,11.82,Check-in
653,322,6.61,Check-in
654,363,26.26,Check-in
655,355,24.55,Cabin
656,607,17.78,Check-in
657,763,18.46,Cabin
658,1113,15.43,Cabin
659,823,12.45,Check-in
660,213,24.09,Check-in
661,1088,13.17,Check-in
662,798,12.73,Cabin
663,274,25.93,Check-in
664,88,24.87,Check-in
665,1168,28.2,Cabin
666,906,20.96,Cabin
667,501,25.8,Cabin
668,795,20.95,Cabin
669,818,23.72,Check-in
670,892,23.11,Check-in
671,607,21.46,Check-in
672,289,22.87,Cabin
673,297,9.48,Check-in
674,375,5.43,Check-in
675,94,12.11,Cabin
676,1090,10.42,Check-in
677,577,23.32,Check-in
678,185,16.78,Cabin
679,315,25.63,Cabin
680,569,19.38,Check-in
681,330,17.84,Check-in
682,228,23.38,Check-in
683,117,10.48,Cabin
684,865,15.25,Check-in
685,5,6.56,Cabin
686,403,23.7,Cabin
687,397,18.6,Check-in
688,198,5.1,Check-in
689,669,25.24,Cabin
690,501,27.16,Check-in
691,1127,22.74,Cabin
692,1133,22.23,Cabin
693,351,21.5,Check-in
694,123,16.28,Cabin
695,336,25.57,Cabin
696,500,26.44,Check-in
697,1139,29.82,Check-in
698,1028,20.24,Cabin
699,418,10.36,Cabin
700,835,27.5,Check-in
701,1036,13.41,Check-in
702,1111,27.83,Cabin
703,363,14.94,Check-in
704,508,15.85,Cabin
705,223,5.02,Check-in
706,389,8.88,Check-in
707,412,27.5,Check-in
708,204,21.83,Check-in
709,716,27.44,Cabin
710,130,18.21,Cabin
711,41,15.15,Cabin
712,1010,14.64,Check-in
713,866,23.89,Cabin
714,1192,9.18,Check-in
715,546,11.18,Check-in
716,261,16.68,Cabin
717,840,7.92,Check-in
718,722,29.25,Cabin
719,1187,26.33,Check-in
720,1109,22.32,Cabin
721,1019,9.45,Check-in
722,309,22.54,Cabin
723,755,22.4,Cabin
724,1094,14.61,Check-in
725,725,19.37,Check-in
726,284,13.09,Check-in
727,631,20.42,Check-in
728,704,13.15,Cabin
729,892,20.71,Check-in
730,911,23.45,Check-in
731,1187,26.54,Check-in
732,912,11.7,Cabin
733,293,24.12,Cabin
734,867,19.76,Cabin
735,129,24.11,Cabin
736,993,5.54,Check-in
737,1134,24.55,Cabin
738,629,22.15,Cabin
739,523,18.98,Cabin
740,831,11.89,Check-in
741,1033,26.17,Check-in
742,842,16.55,Cabin
743,939,17.97,Cabin
744,423,14.97,Check-in
745,780,12.32,Check-in
746,544,12.25,Check-in
747,342,21.57,Cabin
748,21,13.17,Check-in
749,243,25.89,Check-in
750,336,14.96,Cabin
751,81,14.92,Cabin
752,1133,20.05,Check-in
753,38,26.0,Check-in
754,555,18.37,Cabin
755,735,18.0,Check-in
756,2,18.91,Check-in
757,85,13.25,Cabin
758,1108,18.78,Cabin
759,537,25.84,Check-in
760,1134,13.69,Check-in
761,30,8.73,Cabin
762,759,27.88,Check-in
763,2,10.32,Cabin
764,800,23.99,Cabin
765,209,19.8,Cabin
766,417,5.43,Cabin
767,794,12.32,Cabin
768,1158,9.79,Cabin
769,1109,21.62,Cabin
770,885,16.22,Check-in
771,1030,24.03,Check-in
772,243,18.27,Check-in
773,849,26.95,Check-in
774,64,7.82,Check-in
775,876,14.31,Check-in
776,98,10.77,Cabin
777,621,28.74,Cabin
778,270,20.04,Check-in
779,806,17.1,Cabin
780,865,18.97,Cabin
781,767,9.12,Check-in
782,774,8.54,Check-in
783,240,13.09,Cabin
784,894,26.81,Check-in
785,646,28.31,Check-in
786,378,28.47,Check-in
787,256,20.22,Cabin
788,484,10.39,Cabin
789,901,24.83,Cabin
790,1022,12.68,Cabin
791,622,18.53,Cabin
792,763,19.93,Cabin
793,669,9.27,Check-in
794,1095,10.63,Check-in
795,1002,25.76,Check-in
796,589,13.33,Cabin
797,447,7.54,Check-in
798,7,23.53,Cabin
799,262,21.46,Check-in
800,140,28.23,Cabin
801,486,28.08,Check-in
802,949,17.37,Cabin
803,555,18.4,Check-in
804,710,18.89,Cabin
805,1135,13.12,Check-in
806,1197,21.71,Check-in
807,710,8.5,Cabin
808,208,15.15,Cabin
809,1002,14.21,Check-in
810,919,6.66,Cabin
811,107,18.23,Check-in
812,744,12.71,Check-in
813,530,16.21,Cabin
814,552,16.79,Cabin
815,440,13.92,Check-in
816,610,15.96,Cabin
817,230,25.83,Cabin
818,244,13.91,Cabin
819,1170,16.49,Cabin
820,593,26.19,Check-in
821,76,13.33,Cabin
822,1046,18.36,Check-in
823,400,8.12,Check-in
824,863,7.08,Check-in
825,412,10.99,Check-in
826,875,28.41,Cabin
827,1037,18.37,Check-in
828,1141,6.71,Check-in
829,983,18.58,Check-in
830,20,12.13,Cabin
831,377,12.9,Check-in
832,642,9.54,Cabin
833,627,15.21,Check-in
834,671,23.22,Cabin
835,1049,6.25,Check-in
836,730,15.62,Cabin
837,386,12.31,Cabin
838,1017,7.19,Cabin
839,907,23.56,Check-in
840,815,19.72,Check-in
841,636,10.61,Cabin
842,280,19.69,Cabin
843,771,20.73,Cabin
844,537,29.29,Cabin
845,108,20.24,Check-in
846,76,7.8,Cabin
847,983,10.7,Check-in
848,1089,27.65,Cabin
849,336,7.38,Check-in
850,1107,19.86,Cabin
851,589,9.26,Cabin
852,799,11.92,Cabin
853,938,19.57,Cabin
854,350,19.03,Cabin
855,1005,13.21,Cabin
856,1065,8.16,Check-in
857,106,9.48,Check-in
858,904,23.63,Cabin
859,1104,20.23,Check-in
860,282,12.48,Check-in
861,926,27.47,Cabin
862,30,28.16,Cabin
863,538,28.14,Check-in
864,545,24.87,Check-in
865,872,17.41,Check-in
866,1072,29.87,Check-in
867,170,9.56,Check-in
868,61,10.25,Cabin
869,890,26.22,Check-in
870,168,19.45,Cabin
871,1104,6.99,Cabin
872,1181,5.28,Check-in
873,1174,20.76,Check-in
874,216,16.13,Check-in
875,759,12.89,Cabin
876,867,19.63,Check-in
877,766,7.24,Cabin
878,1034,18.46,Check-in
879,952,29.03,Check-in
880,653,9.88,Cabin
881,41,23.65,Check-in
882,250,19.39,Check-in
883,22,11.22,Check-in
884,1175,29.62,Cabin
885,276,21.16,Cabin
886,716,8.03,Cabin
887,87,19.35,Cabin
888,1096,24.94,Check-in
889,88,12.09,Check-in
890,278,12.48,Cabin
891,424,15.01,Cabin
892,1088,17.4,Cabin
893,824,8.5,Cabin
894,162,10.43,Cabin
895,1044,23.02,Cabin
896,1164,11.13,Cabin
897,496,24.96,Check-in
898,15,20.67,Cabin
899,882,7.26,Cabin
900,923,21.64,Check-in
